State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	1.87993	1.93003	1.95775	2.01890	2.08499	2.21336	2.33373	2.46892	2.63331	2.90133	2.94076	2.01734	1.67851	1.62907	1.64523	1.61917	1.60388	1.64232	1.64373	1.66837	1.60764
2	3.02365	3.04033	2.92772	2.93169	3.11518	3.16929	3.44439	3.62345	4.40272	5.69102	6.65828	4.97391	4.14437	3.56507	3.64468	3.44880	3.46167	3.25742	3.13712	2.97046	2.97891
3	2.07388	2.10398	2.15785	2.13552	2.12126	2.06099	2.01339	1.98633	1.86575	1.48721	1.08334	0.86952	1.04061	1.26403	1.31010	1.41629	1.53843	1.60028	1.62755	1.63559	1.66259
4	1.21632	1.14159	1.14159	1.04189	0.97133	0.90073	0.80523	0.68066	0.49799	0.26560	0.25315	0.35275	0.36106	0.48559	0.56451	0.58944	0.72234	0.85937	0.85124	0.99249	1.00499
5	2.06987	2.03851	2.08278	2.09555	2.17303	2.22460	2.30753	2.30183	2.28684	2.24258	1.97885	1.61554	1.64511	1.61940	1.70442	1.77458	1.66591	1.64752	1.69769	1.65352	1.83813
6	2.64312	2.67877	2.68222	2.83270	2.91206	2.96946	3.00155	3.18304	3.31148	3.44486	3.14706	2.95504	2.68608	2.60002	2.49333	2.44741	2.41891	2.38219	2.34932	2.35639	2.38984
7	1.86322	1.91697	1.96275	1.97456	1.91484	1.85905	1.83311	1.84293	1.81687	1.69946	1.90841	2.26462	2.13534	2.12554	1.89686	2.00840	1.88518	1.85141	1.88962	2.03512	1.77034
8	1.54527	1.54193	1.47959	1.44275	1.42605	1.41153	1.40814	1.35350	1.24540	1.20979	1.32331	1.60712	1.67729	1.62621	1.58853	1.52290	1.55869	1.57433	1.58245	1.51463	1.59487
9	1.87417	1.79947	1.88775	1.92496	1.82651	1.91471	2.00630	2.16231	2.37252	2.84770	2.66442	2.39968	2.19950	2.19965	2.25420	2.21014	2.16623	2.08821	1.99355	1.86803	1.98018
10	0.99099	0.97776	0.96667	0.95922	0.95416	0.92787	0.89439	0.86885	0.84912	0.81471	0.79974	0.82054	0.86179	0.90191	0.94751	0.98839	1.01767	1.03949	1.05547	1.06332	1.06861
11	1.79943	1.77778	1.81026	1.75817	1.83828	1.83822	1.92259	1.95493	1.99802	1.91360	1.87030	1.95473	1.95263	1.95493	1.88585	1.90973	1.89694	2.02694	2.09884	2.08382	2.02324
12	1.40430	1.40004	1.39918	1.37630	1.35224	1.34069	1.30998	1.25624	1.19500	1.10537	1.16009	1.59376	1.74860	1.72615	1.68758	1.64334	1.60880	1.54879	1.51397	1.49362	1.48494
13	0.29388	0.29260	0.29019	0.28880	0.28383	0.28013	0.27832	0.27530	0.27064	0.26858	0.27158	0.27518	0.28274	0.28885	0.29402	0.29764	0.30307	0.30823	0.31336	0.31896	0.32103
14	1.50120	1.50580	1.54264	1.46886	1.42742	1.34449	1.26157	1.33054	1.34881	1.50533	1.58820	1.63423	1.52380	1.51470	1.49183	1.44584	1.37691	1.39078	1.34501	1.28061	1.27144
15	0.68275	0.67657	0.64975	0.65589	0.63527	0.61256	0.60016	0.56506	0.54232	0.47840	0.45365	0.49696	0.49903	0.55888	0.56925	0.55895	0.58376	0.62298	0.64787	0.66442	0.68508
