State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	1.72993	1.74310	1.72517	1.70808	1.66292	1.63323	1.55938	1.45199	1.25013	0.84750	0.36026	0.90912	1.77026	2.09431	2.23124	2.28076	2.24884	2.26787	2.20974	2.17190	2.14279
2	3.09959	3.02228	3.04428	3.26484	3.19859	3.13960	3.12488	3.09147	3.20536	2.78942	1.23647	4.09213	5.49053	4.76925	4.43083	4.30965	4.18465	4.05989	3.76577	3.62634	3.34296
3	1.60261	1.56765	1.59417	1.54508	1.53949	1.55762	1.59257	1.61759	1.55039	1.03449	0.41240	1.88026	3.41802	3.30618	2.92044	2.49000	2.34607	2.24701	2.08361	1.96918	1.91329
4	0.85376	0.88307	0.87205	0.89029	1.03317	0.95621	0.99284	1.04404	0.97071	0.89010	0.30036	1.53111	2.48348	2.35894	2.06230	1.82065	1.67417	1.54610	1.41433	1.31923	1.36325
5	1.82050	1.78142	1.70483	1.63792	1.65909	1.58252	1.65741	1.73051	2.01365	2.50031	0.60066	6.14984	4.05974	2.80633	2.33271	2.15867	2.08384	1.95378	1.93280	1.94769	1.86144
6	2.39595	2.36549	2.35222	2.40682	2.34896	2.33163	2.36310	2.38825	2.42464	3.71652	13.22704	5.60320	2.47734	2.21043	2.21658	2.22180	2.18025	2.16319	2.27100	2.26316	2.30689
7	1.98548	1.91520	1.96785	2.03267	2.13105	2.06247	2.12748	2.11323	2.14823	3.13530	3.99772	1.49476	1.47895	1.59136	1.59492	1.61259	1.74263	1.63914	1.75349	1.79061	1.85041
8	1.61554	1.67548	1.66265	1.65857	1.73226	1.68603	1.69291	1.73598	1.95200	2.26433	1.02754	1.36154	1.23482	1.30653	1.32818	1.36462	1.35680	1.34120	1.41797	1.35722	1.43097
9	1.86106	1.74418	1.89996	1.84584	1.97769	1.88174	1.97463	2.04935	2.12113	3.37933	8.83778	3.21156	1.85444	1.68966	1.74963	1.65686	1.62995	1.74097	1.65122	1.74434	1.71742
10	1.07301	1.06597	1.06473	1.07236	1.07356	1.07216	1.05791	1.05730	1.04659	1.01035	0.75755	0.89793	0.91132	0.90342	0.91152	0.93372	0.94404	0.94276	0.95520	0.96477	0.96291
11	1.76223	1.78517	1.72969	1.68366	1.70086	1.79636	1.83649	1.96626	2.20116	2.39216	1.84380	2.49152	2.28134	2.13613	1.90118	1.75798	1.69497	1.73717	1.84819	1.84268	1.86950
12	1.47375	1.50646	1.53010	1.53090	1.53560	1.59175	1.61486	1.64027	1.66160	1.46687	0.53481	0.96137	1.17766	1.28008	1.34946	1.39671	1.42795	1.44989	1.44194	1.46280	1.45908
13	0.30029	0.29658	0.29187	0.28799	0.28125	0.27571	0.27072	0.26214	0.25069	0.23048	0.21632	0.22911	0.24501	0.25333	0.26114	0.26736	0.27335	0.28034	0.28430	0.29032	0.29692
14	1.57707	1.56488	1.39006	1.37367	1.36554	1.36144	1.32080	1.28817	1.21495	1.09301	0.67044	1.08895	1.25148	1.38557	1.40186	1.39382	1.36135	1.34929	1.34941	1.30486	1.33336
15	0.79746	0.77743	0.81928	0.83741	0.83377	0.83921	0.81918	0.81365	0.79176	0.66979	0.33671	0.40588	0.43318	0.44410	0.44047	0.44232	0.46053	0.48424	0.50067	0.50438	0.50257
