state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	6.52502	0.32711	3.48469	2.16471	2.94107	0.36027	0.43144	0.39683
2	0.83392	2.99778	6.16707	1.94468	6.65064	1.23651	1.49881	0.10648
3	2.19519	0.30599	1.59651	2.28752	1.08345	0.41241	0.50579	0.21556
4	0.83780	0.14832	0.21551	2.21950	0.25317	0.30037	0.40215	0.36834
5	1.88524	0.46837	2.12590	2.22914	1.97906	0.60068	1.09396	0.25716
6	3.02378	12.42190	3.62358	1.76867	3.14624	13.22643	10.84644	0.23975
7	1.74714	4.20073	1.66885	0.92787	1.90861	3.99785	3.82227	0.54386
8	3.12392	0.79554	1.11802	0.96895	1.32345	1.02757	1.24178	0.71535
9	1.02435	16.20406	3.15597	1.14880	2.66470	8.83805	8.08416	0.58558
10	17.88104	0.62013	0.77353	1.00749	0.79982	0.75757	0.86610	1.26002
11	1.60614	3.39305	1.72566	1.18596	1.87050	1.84386	2.11373	0.48662
12	16.33079	0.42234	1.02042	1.07022	1.16021	0.53482	0.68169	0.77381
13	40.54432	0.13281	0.21305	0.56223	0.27161	0.21633	0.23410	1.30376
14	0.75526	1.05541	1.72814	0.82085	1.58836	0.67046	0.77750	0.76703
15	1.68609	0.05056	0.36643	0.70256	0.45370	0.33672	0.41323	1.27947
Base	100	0.68330	2.44883	42.07832	0.00093	0.00105	3.41083	36.85763
