State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	2.13996	2.19960	2.25241	2.38940	2.49333	2.62272	2.77339	2.95376	3.20043	3.48657	3.27622	1.99111	1.85236	1.88145	1.91827	1.89960	1.93302	1.94587	1.93605	1.85267	1.89193
2	2.71760	2.84713	2.76078	2.78344	2.95106	3.10079	3.34447	3.68704	4.36203	5.57822	5.94638	4.41535	3.69186	3.24013	3.29887	3.19486	3.07582	2.93369	2.89873	2.91926	2.75421
3	2.26702	2.33864	2.48463	2.70205	2.68553	2.90578	3.02686	3.17261	3.13098	2.67110	1.77615	1.32729	1.64127	1.84243	1.94453	1.95286	1.88971	2.00823	1.98936	1.87376	1.85178
4	1.26919	1.22315	1.18555	1.12255	1.04889	0.99898	0.92759	0.79020	0.62903	0.41961	0.32295	0.33753	0.41272	0.48410	0.55320	0.62228	0.68987	0.76280	0.79596	0.86280	0.92885
5	2.14294	2.05890	2.14294	2.07022	2.19627	2.26112	2.25722	2.49767	2.43249	2.40194	2.83345	2.24919	1.89412	1.78350	1.62327	1.72264	1.83742	1.71142	1.67738	1.76157	1.81131
6	2.71845	2.69986	2.75296	2.88549	2.97309	3.14553	3.14542	3.35488	3.60400	4.20643	3.77916	3.25899	2.82120	2.81078	2.58013	2.61738	2.51146	2.32040	2.37930	2.42727	2.34768
7	2.11809	2.29666	2.23347	2.36517	2.43934	2.33762	2.35951	2.51316	2.60078	2.53487	2.45248	2.80676	2.42510	2.40055	2.39531	2.42561	2.21981	2.18692	2.27256	2.30845	2.24807
8	1.49013	1.49762	1.47408	1.37023	1.44403	1.42580	1.40970	1.46950	1.44047	1.42657	1.63938	1.69499	1.68007	1.62030	1.60656	1.59913	1.60037	1.63894	1.60183	1.61264	1.58380
9	2.30828	2.29120	2.32322	2.39779	2.39352	2.40839	2.66877	2.83511	3.10378	3.62463	3.66092	3.23399	3.03344	2.80095	2.71584	2.63907	2.58596	2.51985	2.52465	2.44579	2.38393
10	1.45206	1.40748	1.46480	1.47106	1.69395	1.71937	1.56648	1.69372	1.57894	1.30517	1.36247	1.75084	1.82731	1.96115	1.94225	1.78948	1.73234	1.63050	1.66906	1.82208	1.98142
11	1.98846	2.14227	2.01044	2.39478	2.31788	2.35076	2.43855	2.57018	2.59188	2.18553	2.52599	2.97627	2.78966	2.62510	2.47159	2.55956	2.71363	2.52695	2.28572	2.30786	2.32992
12	1.50975	1.51057	1.52250	1.51128	1.49446	1.49114	1.46103	1.39266	1.33373	1.23444	1.27837	1.62409	1.69469	1.68175	1.64909	1.61942	1.59002	1.56949	1.55103	1.53610	1.51801
13	0.34228	0.34325	0.33935	0.33665	0.32812	0.32006	0.30981	0.29590	0.28855	0.27881	0.26808	0.27003	0.26907	0.27030	0.27472	0.27985	0.28402	0.29183	0.29360	0.29850	0.30290
14	1.18233	1.17108	1.15062	1.13623	1.11680	1.07892	1.07479	1.07881	1.09096	1.10630	1.15640	1.20241	1.23006	1.23730	1.23027	1.20986	1.23351	1.24788	1.24404	1.25948	1.26157
15	0.48464	0.47375	0.46706	0.45632	0.44629	0.43110	0.42328	0.41365	0.40144	0.39390	0.40255	0.43272	0.45759	0.47862	0.49539	0.50895	0.52487	0.53577	0.54455	0.54870	0.55721
