State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	1.98137	2.01747	2.03921	2.03226	2.00218	1.98032	1.90664	1.77791	1.47637	1.00651	0.34653	1.37860	2.29190	2.61288	2.58514	2.64018	2.60793	2.51795	2.40991	2.36659	2.32078
2	2.91661	2.92557	2.84702	2.96556	2.84452	2.96323	2.94754	2.96296	2.78573	2.45396	1.08916	4.20423	4.67710	4.37231	4.14609	3.94015	3.72510	3.66941	3.49937	3.38994	3.36090
3	1.90377	1.94511	1.85995	1.79900	1.72607	1.74304	1.81354	1.90574	2.09521	1.90556	0.52500	4.85384	4.62050	3.32258	2.82683	2.35057	2.28258	2.15637	2.03014	2.09118	2.03775
4	0.90692	0.89880	0.86287	0.86821	0.85467	0.86006	0.87428	0.90738	0.92425	0.83011	0.28912	1.94798	2.33189	2.07256	1.87423	1.69626	1.55207	1.47230	1.39794	1.37982	1.31822
5	1.78025	1.72630	1.83751	1.64180	1.84745	1.69569	1.63501	1.60115	1.80666	3.12112	2.07625	8.30501	3.25594	2.60880	2.19766	2.11352	2.12370	2.09693	2.16455	1.91192	1.81418
6	2.43464	2.30811	2.37599	2.38514	2.38514	2.28667	2.40381	2.29348	2.28866	3.39891	21.68419	4.35230	1.84586	1.85289	2.04738	1.99596	2.08271	1.99152	2.16041	2.09741	2.09278
7	2.19936	2.31090	2.30356	2.54338	2.34456	2.13356	2.27660	2.26670	2.15990	3.41064	11.05126	1.70168	1.43746	1.59987	1.74537	1.86669	1.92736	2.15060	2.04653	2.05648	2.10262
8	1.55040	1.54474	1.58812	1.54644	1.59742	1.48786	1.48408	1.49622	1.62827	2.04165	1.47909	1.58103	1.25633	1.28181	1.40645	1.37255	1.49532	1.42182	1.49087	1.49483	1.49393
9	2.29189	2.17315	2.17497	2.16346	2.33684	2.16717	2.40650	2.54006	2.57005	4.36557	11.02979	4.49369	2.52476	2.26474	2.20263	2.20277	2.05020	2.00705	2.18816	2.18655	2.17908
10	1.43909	1.55152	1.49526	1.47826	1.56819	1.83231	1.96721	2.23679	2.43896	3.24810	0.74178	2.51756	1.98932	1.73644	1.57352	1.52866	1.53995	1.46702	1.35473	1.36052	1.45614
11	1.90061	1.92970	1.99752	2.08460	2.08460	2.40449	2.42388	2.61755	3.05362	3.75148	1.30865	3.91627	3.19893	2.84996	2.52045	2.20068	2.32678	2.20095	2.27873	2.00747	2.10451
12	1.49786	1.50694	1.50733	1.51411	1.53545	1.59336	1.59307	1.62464	1.68349	1.50961	0.49239	1.07617	1.34269	1.44229	1.49192	1.53915	1.54266	1.56947	1.56875	1.57890	1.57866
13	0.27630	0.27178	0.27005	0.26701	0.25883	0.25452	0.24355	0.22352	0.20953	0.19080	0.16757	0.19597	0.22436	0.24136	0.25535	0.26999	0.28097	0.28917	0.29738	0.30710	0.31356
14	1.12666	1.11673	1.10767	1.12292	1.11569	1.09219	1.08858	1.08668	1.05592	0.99994	0.84471	0.96113	1.01528	1.04596	1.06405	1.09209	1.11469	1.13465	1.14649	1.14392	1.14847
15	0.59123	0.58987	0.59038	0.58457	0.57708	0.56995	0.56027	0.54993	0.53605	0.48754	0.28330	0.34979	0.37218	0.38247	0.39368	0.40308	0.41445	0.42576	0.43548	0.44431	0.45515
