state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	4.08254	0.27761	4.14650	2.20308	3.27571	0.34654	0.47062	0.34122
2	1.36935	3.06061	5.99884	2.04016	5.94446	1.08919	1.38965	0.13131
3	1.26259	0.24353	2.70475	2.27578	1.77633	0.52502	0.68476	0.27572
4	4.53236	0.07201	0.40556	2.23532	0.32299	0.28912	0.41870	0.44896
5	0.91048	2.16684	2.53482	2.14933	2.83374	2.07632	3.20134	0.29779
6	1.31007	21.05918	4.99289	1.71422	3.77690	21.68251	16.61577	0.25111
7	1.26598	10.32607	2.74655	0.98833	2.45274	11.05159	9.22902	0.53239
8	3.25120	0.92578	1.38845	1.06673	1.63955	1.47913	1.70896	0.76097
9	1.62875	22.12992	4.04227	1.19497	3.66130	11.03013	10.24901	0.57926
10	0.54609	0.54072	0.97434	0.80498	1.36261	0.74180	1.33188	0.82791
11	0.31658	2.03958	2.07485	0.99626	2.52625	1.30869	1.75646	0.62729
12	21.29005	0.32215	1.19087	1.32434	1.27850	0.49241	0.65238	0.75661
13	14.26610	0.07098	0.25558	0.71338	0.26811	0.16758	0.16813	0.69217
14	3.40044	0.59571	0.81627	0.48349	1.15652	0.84474	0.93524	0.92066
15	40.56741	0.03735	0.32577	0.58095	0.40260	0.28331	0.34625	1.51818
Base	100	0.68330	2.44883	42.07832	0.00093	0.00105	3.41083	36.85763
