State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	1.80436	1.84255	1.87959	1.95468	2.03917	2.08192	2.17673	2.34842	2.49396	2.71264	2.76239	1.73322	1.46542	1.42791	1.47898	1.43911	1.46935	1.48097	1.46797	1.48197	1.47912
2	2.67934	2.74584	2.81820	2.79258	2.87472	3.03106	3.11699	3.42572	3.89850	4.58474	5.21429	3.91414	3.38051	3.14806	2.92350	2.89818	2.82612	2.85165	2.84637	2.78397	2.80558
3	2.03646	2.07071	2.12707	2.17664	2.13907	2.21192	2.17207	2.11557	2.06565	1.73868	1.14218	0.91131	1.12013	1.36435	1.49266	1.59657	1.61331	1.67414	1.67118	1.68345	1.62935
4	1.02659	1.04068	0.93732	0.84564	0.78222	0.74226	0.63889	0.56134	0.37340	0.27946	0.23484	0.30060	0.32879	0.38753	0.40871	0.46980	0.52623	0.66016	0.68850	0.71440	0.74497
5	2.45570	2.45981	2.60148	2.46374	2.60951	2.72439	2.91112	2.81854	2.74435	2.91061	2.91266	2.41593	2.28670	2.14110	2.22550	2.32823	2.31410	2.27722	2.24073	2.23267	2.27383
6	2.97314	2.99553	2.92277	3.15900	3.30590	3.35755	3.44976	3.65935	3.92332	4.19886	4.08277	3.80723	3.32340	3.10821	3.02739	2.93236	2.86971	2.74667	2.76964	2.74464	2.82312
7	1.83903	1.85612	1.88718	1.92743	1.83269	1.79225	1.80461	1.72529	1.80274	1.60710	1.62884	1.96889	2.07300	2.07780	1.95688	1.97092	2.03015	1.95256	2.00423	1.89716	1.86771
8	1.20550	1.27754	1.31204	1.23179	1.22672	1.19624	1.18301	1.14235	1.07020	0.94239	0.92514	1.21729	1.33501	1.37366	1.37989	1.37486	1.36181	1.36693	1.39767	1.36122	1.35823
9	2.38638	2.43858	2.27040	2.32533	2.27314	2.38323	2.57450	2.40328	2.48999	2.42622	2.33346	2.76827	2.76836	2.58882	2.57749	2.59207	2.57785	2.65043	2.42475	2.54675	2.53523
10	0.90263	0.88186	0.87304	0.86074	0.84168	0.80893	0.78557	0.76702	0.75755	0.73337	0.73280	0.75613	0.79029	0.83957	0.88746	0.92619	0.93311	0.94624	0.96465	0.96187	0.96589
11	1.38423	1.37830	1.40154	1.39415	1.41010	1.39775	1.37948	1.37574	1.35054	1.34007	1.33688	1.39290	1.46629	1.50147	1.51484	1.52218	1.55469	1.55474	1.58515	1.58207	1.59261
12	1.06858	1.04609	1.02748	1.00966	0.98091	0.96329	0.93570	0.89945	0.83191	0.78677	0.83157	1.19977	1.27064	1.25247	1.21050	1.17097	1.14573	1.12784	1.10727	1.11310	1.10028
13	0.23553	0.23396	0.23156	0.22998	0.22914	0.22809	0.22276	0.21867	0.21499	0.21175	0.21165	0.21228	0.21792	0.22274	0.22673	0.23040	0.23408	0.23649	0.23946	0.24251	0.24523
14	0.75370	0.74144	0.75064	0.74599	0.73067	0.70307	0.69999	0.71372	0.71977	0.74887	0.77950	0.78869	0.77799	0.75507	0.75209	0.75671	0.74760	0.74762	0.75085	0.76622	0.74939
15	1.22337	1.14096	1.05222	1.00778	1.01412	0.99507	0.95067	0.90624	0.84278	0.77942	0.73506	0.81110	0.89351	0.95061	1.00141	1.09018	1.09663	1.20444	1.14762	1.23013	1.24920
