State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	1.59521	1.56967	1.55890	1.53219	1.49900	1.44941	1.38098	1.26288	1.03047	0.67402	0.32271	0.79810	1.58293	1.85151	1.95319	2.03042	2.05602	2.04242	2.04311	2.01425	1.95250
2	2.65154	2.70850	2.69461	2.66329	2.73406	2.83754	2.78403	2.66815	2.67488	2.19161	1.10271	2.69896	3.94835	4.00357	3.78626	3.68984	3.53808	3.48835	3.34194	3.21460	3.18016
3	1.53809	1.58393	1.60631	1.60129	1.58373	1.54663	1.61879	1.62352	1.65657	1.21484	0.43192	2.59934	3.90095	3.29061	2.88022	2.51377	2.27787	2.16983	2.02569	1.92157	1.95381
4	0.86467	0.81076	0.80866	0.79200	0.77127	0.78575	0.82307	0.80227	0.84367	0.71513	0.27362	1.37015	1.74327	1.74327	1.74332	1.62112	1.57348	1.50521	1.37887	1.31890	1.28368
5	2.31256	2.24913	2.16026	2.22711	2.17999	2.15999	2.19261	2.26670	2.39701	3.66696	0.99465	8.77788	4.02206	2.95857	2.54557	2.51130	2.60923	2.46087	2.27443	2.32546	2.28747
6	2.79967	2.67370	2.76377	2.80303	2.81167	2.84616	2.80171	2.85331	2.87659	4.16043	15.70471	5.02462	2.62465	2.57651	2.75066	2.71132	2.60522	2.57459	2.66127	2.69124	2.62586
7	1.88512	2.01400	2.00297	2.04939	2.18099	2.04659	2.07674	2.14920	2.20115	3.16731	4.56114	1.49937	1.31297	1.50211	1.54601	1.55981	1.62154	1.67652	1.73426	1.64535	1.73041
8	1.41695	1.39635	1.41601	1.51798	1.53410	1.46778	1.45972	1.53659	1.68603	1.95728	0.88910	1.12906	1.04221	1.06459	1.08701	1.16498	1.13368	1.15706	1.16344	1.24868	1.25499
9	2.43143	2.51845	2.47743	2.36204	2.54374	2.34661	2.52063	2.36687	2.53559	3.20073	4.01691	2.40759	2.23361	2.22081	2.31299	2.39246	2.30553	2.25200	2.21126	2.36255	2.20904
10	0.96451	0.96200	0.95870	0.95535	0.94129	0.94000	0.93096	0.91028	0.88411	0.83814	0.71385	0.76683	0.77963	0.76708	0.78066	0.79427	0.80936	0.82124	0.84040	0.84327	0.86164
11	1.43055	1.43899	1.42930	1.43600	1.41630	1.43757	1.42389	1.43703	1.40599	1.32393	1.14341	1.30664	1.33398	1.36453	1.39272	1.39039	1.40008	1.42756	1.45101	1.45763	1.47698
12	1.15546	1.16247	1.17154	1.16173	1.16860	1.21095	1.23124	1.26560	1.31477	1.16835	0.48480	0.72876	0.86499	0.92975	0.95530	0.97789	1.01374	1.02666	1.04810	1.05928	1.06230
13	0.23684	0.23528	0.23297	0.23046	0.22428	0.22022	0.21450	0.21006	0.20350	0.19483	0.19262	0.19548	0.19981	0.20571	0.21087	0.21485	0.21808	0.22197	0.22393	0.22580	0.22793
14	0.68285	0.66527	0.65849	0.66248	0.67060	0.66246	0.66246	0.66916	0.65155	0.62584	0.57313	0.62855	0.64342	0.65153	0.65425	0.69620	0.69487	0.70710	0.69635	0.69779	0.70863
15	1.45469	1.45469	1.40989	1.40417	1.43773	1.54398	1.57754	1.60536	1.44865	1.25845	0.72151	0.82218	0.84456	0.87811	0.81102	0.74395	0.74397	0.78320	0.78327	0.78337	0.87852
