state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	6.00993	0.20757	3.47904	2.17925	2.76268	0.32272	0.39925	0.40369
2	1.77832	2.79117	4.95994	2.01198	5.21288	1.10274	1.28806	0.10157
3	3.14751	0.27624	1.74264	2.28360	1.14230	0.43194	0.52412	0.22229
4	1.48048	0.05517	0.16705	2.20737	0.23487	0.27362	0.36445	0.39372
5	1.69384	1.16592	2.60026	2.16450	2.91091	0.99468	1.94566	0.16069
6	2.48577	15.93276	4.48250	1.66024	4.08180	15.70396	12.68561	0.15766
7	2.23913	4.90878	1.54200	0.83092	1.62901	4.56128	4.17234	0.35173
8	3.42742	0.49822	0.81330	0.87030	0.92524	0.88913	1.12654	0.59247
9	1.19943	6.59767	2.19733	1.01205	2.33370	4.01703	4.08397	0.37481
10	12.22193	0.54068	0.67153	0.89293	0.73288	0.71387	0.79655	1.66833
11	7.63303	1.57895	1.18153	1.01804	1.33702	1.14344	1.24189	1.00582
12	20.56644	0.33834	0.72716	0.98696	0.83166	0.48481	0.59046	0.79177
13	33.29780	0.09898	0.18204	0.54363	0.21167	0.19263	0.21148	1.34051
14	2.27030	0.64284	0.65410	0.71398	0.77958	0.57315	0.58749	1.20791
15	0.54868	0.49439	0.70798	0.57161	0.73513	0.72153	0.83058	0.81812
Base	100	0.68330	2.44883	42.07832	0.00093	0.00105	3.41083	36.85763
