State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	1.86157	1.94312	1.97537	2.05982	2.13832	2.21370	2.36209	2.51342	2.70114	2.89034	2.65795	1.64076	1.50028	1.52655	1.53218	1.53528	1.56952	1.58783	1.60095	1.61871	1.58468
2	2.35976	2.40729	2.45957	2.61148	2.83009	2.88465	3.02949	3.17658	3.75591	4.74893	5.32622	3.62287	3.04332	2.84633	2.80148	2.82059	2.83039	2.71879	2.60763	2.52937	2.49617
3	2.17879	2.15831	2.16915	2.22199	2.21236	2.21951	2.23147	2.24577	2.09141	1.79041	1.21126	0.97768	1.20649	1.43898	1.58123	1.58370	1.67299	1.75134	1.78062	1.73617	1.76755
4	1.09558	1.06597	1.08768	0.98694	0.86061	0.80531	0.73028	0.61576	0.48940	0.32561	0.27430	0.37100	0.36312	0.43222	0.46779	0.50334	0.59222	0.67713	0.73256	0.79383	0.82743
5	2.24689	2.25853	2.34002	2.26669	2.45960	2.54432	2.50100	2.57731	2.57871	2.59700	2.52550	2.14144	2.05007	1.91719	2.05375	2.09207	2.01911	2.05910	1.92478	1.96817	2.04310
6	3.00237	3.01530	3.00237	3.18180	3.23928	3.41162	3.54802	3.69721	3.87930	4.00574	3.91091	3.72556	3.34637	3.13538	2.95894	2.92887	2.81275	2.69068	2.75449	2.78200	2.73321
7	1.92155	1.94840	1.96549	2.03616	1.96047	1.86763	1.82607	1.81129	1.66221	1.39616	1.47671	2.26510	2.13825	2.11887	2.07027	1.96292	2.01684	1.95098	1.92452	1.88313	1.87099
8	1.41439	1.45521	1.43867	1.38230	1.37568	1.35026	1.29175	1.15488	1.08859	1.00035	1.12940	1.52535	1.66437	1.62809	1.49257	1.42864	1.44423	1.52152	1.45231	1.42813	1.41273
9	2.21332	2.28812	2.28925	2.23470	2.22563	2.32754	2.29346	2.28650	2.38143	2.46074	2.46754	2.77230	2.80751	2.77825	2.72641	2.75031	2.61686	2.48321	2.53361	2.47370	2.47946
10	0.96651	0.94872	0.94360	0.91982	0.89260	0.85322	0.83729	0.80625	0.77922	0.76790	0.75820	0.80913	0.88514	0.95580	1.00145	1.04245	1.07652	1.08814	1.08648	1.08926	1.09549
11	1.42311	1.38973	1.39737	1.39325	1.38279	1.36988	1.35857	1.33515	1.30043	1.22925	1.22282	1.36155	1.48505	1.53140	1.55850	1.56620	1.60377	1.63802	1.62951	1.62238	1.62324
12	1.17111	1.14869	1.13027	1.11361	1.08936	1.05769	1.02849	1.00294	0.93469	0.90185	1.09369	1.50533	1.46578	1.36519	1.29994	1.25116	1.17944	1.14140	1.14717	1.15401	1.14084
13	0.30112	0.29869	0.29205	0.28693	0.28295	0.27962	0.27407	0.27162	0.26406	0.25599	0.25886	0.26318	0.26551	0.27062	0.27519	0.27885	0.28253	0.28830	0.29235	0.29514	0.29991
14	0.34877	0.34558	0.34238	0.34172	0.33628	0.33275	0.32827	0.33048	0.33684	0.34387	0.34483	0.35570	0.36018	0.36564	0.37559	0.37336	0.37372	0.37086	0.37477	0.37800	0.37865
15	0.51925	0.52750	0.53574	0.51510	0.51098	0.50272	0.50682	0.48206	0.51085	0.51497	0.50261	0.48201	0.51087	0.47794	0.50272	0.53158	0.55636	0.54402	0.53589	0.56066	0.56892
