State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	1.68237	1.69741	1.70810	1.65799	1.64457	1.56395	1.49575	1.35061	1.17225	0.78344	0.31628	0.90212	1.69039	2.02761	2.14420	2.18353	2.16480	2.15856	2.12868	2.10745	2.05218
2	2.46255	2.45416	2.50653	2.40982	2.42870	2.53558	2.58172	2.46405	2.31082	1.89138	0.91633	2.57915	3.65904	3.61500	3.39493	3.39724	3.27571	3.30328	3.29100	3.08372	2.88662
3	1.65525	1.66482	1.60736	1.63485	1.56788	1.58272	1.60079	1.67185	1.66537	1.10525	0.46017	2.52295	3.88008	3.26581	2.81742	2.51468	2.39040	2.21311	2.06554	1.99456	2.04034
4	0.81719	0.86249	0.87466	0.90071	0.86064	0.86236	0.91811	0.95809	1.06777	0.87613	0.29959	1.62337	2.34448	2.15985	1.95089	1.70714	1.53647	1.43034	1.33464	1.26510	1.23552
5	2.05373	1.99794	1.90246	1.93752	1.97862	1.96094	1.96681	2.01213	2.15582	3.12871	0.82180	7.30962	3.69957	2.86603	2.54766	2.44361	2.41140	2.30447	2.31496	2.22422	2.18465
6	2.79853	2.71987	2.83777	2.83116	2.88063	2.84122	2.81332	2.76994	2.69114	4.13931	16.74619	5.00800	2.59341	2.47420	2.56559	2.58984	2.57090	2.55464	2.57518	2.62878	2.58572
7	1.98488	2.03014	2.10981	2.22814	2.10531	2.07292	2.19790	2.26018	2.44533	3.45567	3.28547	1.37236	1.27541	1.41114	1.52537	1.56855	1.59877	1.70666	1.59260	1.72427	1.77821
8	1.56688	1.60973	1.61845	1.63972	1.62804	1.64551	1.72633	1.81379	2.07945	2.48242	0.70286	1.10784	1.04456	1.07571	1.11955	1.20725	1.25110	1.24537	1.22698	1.24369	1.27879
9	2.28874	2.32475	2.33768	2.47149	2.48950	2.41641	2.51143	2.65521	2.86005	3.58195	5.08693	2.43996	1.95897	2.07597	2.17704	2.11816	2.12923	2.10442	2.19864	2.24393	2.22999
10	1.09577	1.09696	1.09336	1.10801	1.10420	1.10988	1.09988	1.09193	1.07213	0.99361	0.66804	0.82096	0.82286	0.82738	0.83501	0.84719	0.86339	0.88274	0.90257	0.91672	0.92341
11	1.49579	1.49260	1.49965	1.45869	1.47360	1.51757	1.52858	1.56819	1.56384	1.44454	0.93558	1.30612	1.39378	1.38810	1.36756	1.40598	1.43300	1.44485	1.44959	1.46895	1.50876
12	1.22505	1.21909	1.21742	1.21975	1.25688	1.28583	1.27283	1.28273	1.27100	1.03579	0.36522	0.71392	0.92769	1.03173	1.10817	1.13587	1.15162	1.18262	1.19926	1.19372	1.19240
13	0.30615	0.30293	0.29617	0.28931	0.28100	0.27582	0.26868	0.25928	0.25047	0.22829	0.20426	0.23093	0.24851	0.25984	0.26542	0.26915	0.27678	0.28384	0.28836	0.29181	0.29641
14	0.33438	0.33494	0.33239	0.33067	0.32982	0.32755	0.31853	0.30637	0.29986	0.28321	0.24767	0.27644	0.29082	0.29618	0.31199	0.32781	0.32669	0.32390	0.32336	0.32594	0.32793
15	0.59292	0.58201	0.56380	0.53102	0.57102	0.58555	0.59283	0.60005	0.60365	0.50181	0.34181	0.41454	0.43636	0.45454	0.47637	0.45822	0.45096	0.45464	0.48014	0.49111	0.47294
