state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	5.71500	0.21670	3.41664	2.21118	2.65823	0.31629	0.39335	0.37329
2	1.46352	2.98397	5.29852	2.09736	5.32440	0.91636	1.08808	0.15686
3	2.88762	0.36262	1.73123	2.29147	1.21139	0.46018	0.54452	0.19850
4	1.76184	0.04477	0.23872	2.21241	0.27433	0.29960	0.41109	0.39477
5	2.09118	0.85960	2.39665	2.18069	2.52410	0.82183	1.60584	0.21141
6	2.41987	16.55814	4.43226	1.66812	3.90988	16.74543	13.46858	0.18625
7	1.42443	2.77525	1.31221	0.82600	1.47686	3.28557	3.24401	0.46970
8	3.15235	0.28632	0.87211	0.85911	1.12951	0.70289	0.96459	0.65081
9	3.06885	8.11964	2.38479	0.90456	2.46779	5.08708	4.98408	0.38233
10	12.90386	0.40292	0.67880	0.82352	0.75828	0.66806	0.76977	1.32130
11	8.64640	1.24731	1.10654	0.97090	1.22295	0.93561	1.07187	0.85378
12	11.32663	0.16056	0.95577	1.18148	1.09381	0.36523	0.46647	0.89198
13	31.41530	0.06574	0.23396	0.65450	0.25889	0.20427	0.22637	1.19911
14	10.87922	0.15185	0.24916	0.45053	0.34487	0.24767	0.27596	1.68186
15	0.84393	0.12911	0.48875	0.77603	0.50266	0.34182	0.42369	1.27827
Base	100	0.68330	2.44883	42.07832	0.00093	0.00105	3.41083	36.85763
