State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	1.88157	1.96675	1.96484	2.02000	2.07848	2.15277	2.31350	2.42901	2.67722	2.95047	2.99114	1.86446	1.60016	1.53990	1.55849	1.54329	1.56761	1.58165	1.58516	1.59162	1.58786
2	0.64812	0.69216	0.71104	0.90604	1.00671	0.84938	0.86194	1.05690	1.10711	1.34615	1.79906	1.23292	0.92472	0.84300	0.81163	0.70470	0.59150	0.66704	0.59794	0.59169	0.64836
3	2.04212	1.99970	2.09908	2.07348	2.14983	2.20187	2.19452	2.23799	2.27289	2.12144	1.55080	1.18006	1.24916	1.36315	1.39722	1.51967	1.49801	1.56957	1.55171	1.59062	1.60280
4	1.59446	1.59446	1.59154	1.52268	1.49635	1.40415	1.35583	1.22411	1.06459	0.88033	0.60834	0.67268	0.86720	0.90675	1.06043	1.08679	1.20101	1.27273	1.32860	1.32869	1.36971
5	1.72330	1.76575	1.74260	1.81966	1.84668	2.04922	2.01249	1.91395	1.86166	1.92725	1.86166	1.43338	1.22314	1.24059	1.26774	1.30444	1.38370	1.35673	1.35895	1.32815	1.32627
6	2.46912	2.44534	2.49289	2.69938	2.73230	2.78524	2.82903	3.09398	3.28198	3.36609	2.95653	2.56342	2.44100	2.33877	2.23478	2.22937	2.22411	2.12725	2.12037	2.12967	2.14987
7	1.39158	1.37731	1.34230	1.43817	1.39019	1.42904	1.48994	1.49761	1.50913	1.49227	1.58043	1.68415	1.52992	1.57930	1.54316	1.52895	1.42016	1.44615	1.41402	1.50364	1.41936
8	1.13979	1.16675	1.19787	1.20089	1.16771	1.12100	1.11993	1.18517	1.10314	1.08863	1.23170	1.41625	1.27737	1.33449	1.30870	1.27556	1.24354	1.24566	1.30920	1.19206	1.19417
9	1.40088	1.53617	1.61909	1.32660	1.49242	1.60146	1.41814	1.54021	1.77128	2.15520	1.95451	1.70583	1.51393	1.66238	1.52728	1.40515	1.61478	1.47517	1.45365	1.43193	1.41888
10	1.08185	1.06069	1.03080	1.00493	0.98099	0.95330	0.93192	0.88973	0.85493	0.81522	0.81281	0.88128	0.98134	1.04803	1.10847	1.13171	1.14928	1.17011	1.17741	1.18176	1.19610
11	0.83393	0.81353	0.79540	0.82934	0.81801	0.83157	0.87913	0.86547	0.84273	0.77930	0.83593	0.92202	0.89260	0.82696	0.84064	0.90185	0.89061	0.94277	0.98603	0.92716	0.89319
12	1.31310	1.31736	1.33303	1.32084	1.31965	1.31824	1.30508	1.29597	1.27301	1.25326	1.34453	1.66262	1.68736	1.60489	1.53165	1.48384	1.45010	1.40961	1.37821	1.37132	1.35535
13	0.39348	0.38816	0.38028	0.37429	0.37621	0.37087	0.36979	0.35636	0.34333	0.33695	0.34227	0.35227	0.36187	0.37168	0.38109	0.39728	0.40797	0.41565	0.42490	0.43046	0.43644
14	0.36332	0.35758	0.35647	0.35515	0.34736	0.34513	0.34104	0.34287	0.34765	0.35747	0.36432	0.37173	0.37396	0.37399	0.37718	0.37830	0.37667	0.37687	0.38159	0.38791	0.39034
15	0.67425	0.66410	0.66990	0.69740	0.72640	0.68723	0.64951	0.63642	0.62331	0.58997	0.60301	0.60156	0.62913	0.64947	0.65823	0.69160	0.71343	0.71345	0.72810	0.72960	0.73688
