State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	1.68549	1.71411	1.66019	1.66958	1.66341	1.60501	1.49955	1.37544	1.16389	0.80769	0.29727	0.98773	1.78028	2.07138	2.13651	2.18825	2.15410	2.10661	2.08436	2.03075	1.98143
2	0.69426	0.73870	0.63870	0.58866	0.51647	0.49979	0.54977	0.61635	0.63297	0.64961	0.37755	0.83283	0.99940	0.75510	0.69960	0.75517	0.82183	0.98296	1.04969	0.89429	0.97209
3	1.66024	1.59713	1.58424	1.54131	1.50067	1.47816	1.43324	1.41278	1.51215	1.17097	0.40743	2.96754	3.41133	2.81034	2.48746	2.27693	2.22673	2.12853	2.04636	1.99954	1.96750
4	1.33250	1.27568	1.30792	1.29360	1.26520	1.31809	1.35036	1.38509	1.41470	1.25718	0.48145	2.61892	3.01776	2.68603	2.42667	2.12476	1.87181	1.79839	1.72496	1.65673	1.72006
5	1.44275	1.41039	1.30814	1.37104	1.39829	1.19047	1.32331	1.27380	1.21072	1.88669	0.73050	5.01812	2.63251	2.13530	1.90378	1.82386	1.99762	1.91264	1.74930	1.81936	1.71720
6	2.14713	2.04542	2.17289	2.16462	2.06939	2.05802	1.99023	2.04008	2.04157	3.15505	17.80226	4.50100	1.76070	1.64612	1.82531	1.88675	1.81902	1.95801	2.00662	1.96650	1.95849
7	1.38514	1.41032	1.42058	1.47653	1.50858	1.38149	1.46275	1.47406	1.40989	2.05984	4.31422	1.26566	0.98529	1.12719	1.25768	1.18795	1.32189	1.31286	1.40341	1.39786	1.34524
8	1.19647	1.21020	1.24403	1.30890	1.28602	1.25395	1.27134	1.25932	1.34344	1.72500	1.14115	1.15580	1.03958	1.08442	1.03778	1.09458	1.13489	1.14964	1.21108	1.21122	1.18654
9	1.41371	1.53698	1.45604	1.45205	1.56375	1.36343	1.52904	1.54045	1.48259	3.28856	8.80672	2.32972	1.13983	1.31311	1.05900	1.15919	1.15923	1.24407	1.08625	1.20581	1.12494
10	1.23527	1.23658	1.23687	1.22725	1.22496	1.23180	1.24261	1.24971	1.25700	1.18735	0.74101	0.90366	0.89907	0.89154	0.91695	0.92553	0.94063	0.95169	0.97078	0.98270	1.01059
11	0.88210	0.88610	0.93008	0.91999	0.91599	0.89996	0.90396	1.04986	1.28175	1.40968	0.90380	1.21173	1.04377	0.94379	0.84784	0.79189	0.79992	0.81599	0.83607	0.82017	0.80819
12	1.34006	1.35629	1.36557	1.37026	1.39807	1.46612	1.47710	1.51529	1.55352	1.42798	0.59262	1.08319	1.30188	1.37357	1.40427	1.43292	1.41613	1.41325	1.40451	1.41160	1.40488
13	0.41384	0.40275	0.39579	0.38673	0.37771	0.37018	0.36361	0.34460	0.32673	0.28989	0.26754	0.29140	0.32409	0.34043	0.35209	0.36076	0.37035	0.37790	0.38470	0.38907	0.39529
14	0.34948	0.34457	0.34292	0.33864	0.33439	0.32882	0.31966	0.30901	0.30343	0.29361	0.27612	0.29590	0.31012	0.31732	0.32566	0.33026	0.33436	0.34093	0.34423	0.35016	0.35770
15	0.72825	0.76409	0.78838	0.78831	0.78831	0.79084	0.76141	0.75622	0.74082	0.72161	0.56040	0.60134	0.61285	0.58343	0.58344	0.61035	0.62317	0.62450	0.62072	0.62848	0.64770
