state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	5.47127	0.13205	3.66460	2.16364	2.99145	0.29728	0.37225	0.41053
2	0.55272	0.21340	1.68918	1.19774	1.79925	0.37756	0.43288	0.43724
3	2.86970	0.16615	2.29268	2.29623	1.55096	0.40745	0.52750	0.17048
4	2.37755	0.73688	0.69302	2.26241	0.60840	0.48146	0.64408	0.19997
5	1.80222	0.42414	2.05730	2.24278	1.86185	0.73052	1.28947	0.17404
6	1.90155	17.06910	4.14853	1.79015	2.95501	17.80119	14.03302	0.20351
7	2.68169	4.15092	1.50780	1.01719	1.58060	4.31435	3.73686	0.53124
8	3.35344	1.07383	0.99872	1.02099	1.23183	1.14119	1.28944	0.62340
9	0.79693	13.84935	2.53686	0.97171	1.95471	8.80699	8.16414	0.89363
10	18.73563	0.71449	0.71086	0.80042	0.81289	0.74103	0.86663	1.28967
11	1.53475	1.58345	0.81375	0.96400	0.83602	0.90382	1.04594	1.42817
12	20.41817	0.57764	1.16114	1.16954	1.34433	0.59264	0.73406	0.71131
13	16.33418	0.26876	0.30267	0.48509	0.34231	0.26754	0.29119	0.92332
14	18.77165	0.21460	0.28173	0.61503	0.36436	0.27613	0.30530	1.78836
15	2.39855	0.79623	0.52966	0.55666	0.60308	0.56041	0.62601	0.87109
Base	100	0.68330	2.44883	42.07832	0.00093	0.00105	3.41083	36.85763
