State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	2.09654	2.12613	2.16906	2.23909	2.34641	2.46292	2.60146	2.77296	2.99025	3.27616	3.12711	2.09828	1.88666	1.81719	1.84290	1.87313	1.89125	1.86753	1.84181	1.83207	1.78745
2	2.12979	2.16333	2.28911	2.30572	2.38118	2.17987	2.29717	2.66587	3.20218	4.23325	5.59962	4.14942	3.09331	2.48991	2.43987	2.33934	2.33111	2.47375	2.49943	2.36540	2.35710
3	2.12658	2.22032	2.27069	2.27752	2.41742	2.43272	2.33332	2.28979	2.20991	1.90080	1.26580	1.02103	1.34697	1.56109	1.63120	1.70540	1.74190	1.79233	1.85708	1.90760	1.86847
4	1.23155	1.17603	1.13061	1.06239	0.96145	0.94628	0.86802	0.72919	0.61813	0.44657	0.29771	0.36583	0.43649	0.45671	0.57788	0.60566	0.69908	0.76725	0.80780	0.87855	0.94422
5	2.66895	2.49414	2.52536	2.55640	2.58449	2.78104	2.84336	2.99297	3.01148	3.13631	3.41717	2.77743	2.46545	2.44377	2.34102	2.37856	2.16333	2.32886	2.22631	2.12966	2.31398
6	2.70407	2.79905	2.80053	3.02442	3.04075	3.13116	3.30764	3.39940	3.60392	3.84131	3.64695	3.38433	2.94377	2.87127	2.71575	2.59415	2.72049	2.54990	2.51480	2.49716	2.46162
7	2.34073	2.26813	2.20142	2.30918	2.18950	2.14038	2.17758	2.13427	2.27142	2.24004	2.00662	2.49896	2.62851	2.49333	2.38765	2.40343	2.33296	2.35659	2.34531	2.22379	2.29060
8	1.85183	1.85013	1.83827	1.74073	1.81697	1.76184	1.70080	1.67527	1.56929	1.42024	1.47275	1.94785	2.07157	2.04631	2.03975	1.96697	1.95101	1.93667	1.95403	1.93213	1.92288
9	1.78501	1.88150	1.78501	1.70650	1.76077	1.74865	1.81491	2.07404	2.08595	2.12212	2.24270	2.25476	1.99559	1.97161	2.04418	2.21310	1.94187	1.88766	1.99060	1.93042	1.76760
10	1.09030	1.06698	1.05624	1.05485	1.02184	1.00975	0.98692	0.95542	0.93204	0.90060	0.89641	0.93282	1.01092	1.08356	1.13922	1.17175	1.19384	1.21354	1.21563	1.22777	1.23070
11	1.43495	1.43560	1.44214	1.44204	1.46688	1.45703	1.43867	1.44380	1.45285	1.44762	1.39991	1.40775	1.46140	1.49679	1.51591	1.53949	1.58014	1.59196	1.57660	1.57802	1.59311
12	1.30516	1.31887	1.32734	1.30282	1.27341	1.24645	1.23494	1.19174	1.12936	1.08799	1.26492	1.60632	1.59292	1.52923	1.45337	1.40681	1.35331	1.32644	1.31699	1.32407	1.31838
13	0.31744	0.31477	0.31043	0.30745	0.30218	0.29866	0.29561	0.29143	0.28559	0.28264	0.28485	0.29104	0.29742	0.30151	0.30597	0.31023	0.31413	0.31590	0.31790	0.32125	0.32302
14	0.26394	0.26521	0.26331	0.25314	0.24806	0.25186	0.25185	0.26706	0.27338	0.29876	0.31081	0.29749	0.28735	0.28166	0.28106	0.27853	0.28489	0.28236	0.28940	0.28752	0.29705
15	0.89488	0.87051	0.86368	0.82853	0.78857	0.77684	0.72516	0.67930	0.63150	0.57790	0.59837	0.69192	0.76797	0.84404	0.90846	0.90849	0.91441	0.94953	0.97314	0.97223	0.97519
