State (Emission order)	-50000	-45000	-40000	-35000	-30000	-25000	-20000	-15000	-10000	-5000	0	5000	10000	15000	20000	25000	30000	35000	40000	45000	50000
1	1.94251	1.99679	1.96037	1.93511	1.91463	1.88437	1.80092	1.69429	1.46693	1.02675	0.42380	1.30212	2.23827	2.49163	2.51167	2.56096	2.56411	2.52032	2.42832	2.36308	2.28430
2	2.29412	2.04991	2.12385	1.98306	2.17545	2.02000	1.80542	1.80525	2.01229	2.05668	1.24288	3.32915	3.77304	3.33655	3.03332	2.95212	2.87082	2.87849	3.01927	2.97524	2.99753
3	1.69535	1.78673	1.74963	1.69514	1.72478	1.67657	1.71485	1.73320	1.83926	1.50103	0.45179	3.72048	4.30682	3.38102	2.84908	2.52828	2.24318	2.10511	1.95460	1.99559	1.96478
4	0.98893	0.93993	0.95995	0.92423	0.90864	0.93088	1.00660	0.97310	1.02426	0.92406	0.34513	1.78577	2.27563	2.14426	2.05080	1.77034	1.61897	1.52781	1.43213	1.34989	1.28756
5	2.51259	2.20953	2.22875	2.31394	2.22854	2.27255	2.36896	2.36048	2.48151	3.70988	1.25315	9.05849	3.85585	3.13150	2.98562	2.55336	2.65811	2.49031	2.37752	2.26760	2.25114
6	2.50050	2.36427	2.48863	2.54472	2.50543	2.44903	2.60357	2.57976	2.59269	4.01082	16.22137	4.68911	2.37402	2.16582	2.30338	2.35983	2.28657	2.33655	2.38254	2.38152	2.41303
7	2.39835	2.35506	2.38269	2.34784	2.44134	2.53129	2.45338	2.51202	2.50667	3.89849	5.28859	1.85923	1.62553	1.86961	1.99259	1.92865	1.96507	2.00854	2.10910	2.14399	2.16311
8	1.95063	2.00671	2.03655	2.04085	2.07598	2.07143	2.09162	2.27829	2.52256	3.03230	1.15926	1.64433	1.60397	1.60248	1.58309	1.61234	1.74246	1.77327	1.80329	1.77510	1.82525
9	1.67121	1.89475	1.86275	1.72954	1.88387	1.63370	1.67627	1.73465	1.85160	2.72419	7.92781	1.96865	1.59620	1.56960	1.51644	1.67085	1.51658	1.53269	1.64987	1.49039	1.54899
10	1.22383	1.22036	1.21361	1.21234	1.20795	1.20144	1.18918	1.16526	1.13236	1.05653	0.80037	0.93400	0.95804	0.96544	0.97796	0.99582	1.01157	1.05329	1.05682	1.06898	1.09954
11	1.40954	1.38646	1.36392	1.37821	1.35975	1.34644	1.33837	1.34920	1.39526	1.42583	1.27183	1.53831	1.51062	1.47890	1.49221	1.49288	1.51138	1.51152	1.49431	1.53142	1.51935
12	1.31910	1.33362	1.33204	1.35633	1.36205	1.40622	1.42338	1.45535	1.48715	1.20895	0.52519	0.90830	1.13879	1.24677	1.28816	1.33487	1.33447	1.31897	1.35293	1.36234	1.35182
13	0.31644	0.31318	0.31032	0.30532	0.30067	0.29569	0.29145	0.28254	0.27658	0.26370	0.25050	0.26240	0.27201	0.28073	0.28637	0.29087	0.29511	0.29718	0.30160	0.30669	0.30947
14	0.26039	0.26151	0.26150	0.25812	0.24804	0.24635	0.23347	0.24297	0.22056	0.21944	0.19257	0.21664	0.22952	0.24855	0.25360	0.26761	0.26650	0.27828	0.27494	0.27273	0.26882
15	1.09006	1.11071	1.14594	1.17337	1.19745	1.24215	1.28344	1.25493	1.20239	0.93921	0.40940	0.54787	0.62270	0.66742	0.70529	0.71565	0.72170	0.75101	0.77085	0.77696	0.78215
