state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	6.02914	0.62786	3.71967	2.12784	3.12744	0.42382	0.51573	0.35156
2	0.41713	1.92017	4.63766	1.73432	5.58344	1.24292	1.50716	0.18002
3	2.49995	0.45736	1.81623	2.19862	1.26593	0.45180	0.60379	0.26792
4	1.38592	0.25427	0.34839	2.09320	0.29774	0.34514	0.47160	0.37575
5	1.12046	1.31385	2.86513	2.09898	3.41753	1.25319	2.35359	0.22088
6	2.35669	15.57721	4.15539	1.62652	3.64584	16.22056	12.90989	0.24115
7	1.78262	6.08726	1.96274	0.86902	2.00683	5.28875	4.95339	0.43379
8	4.12877	0.77672	1.18711	0.87796	1.47290	1.15929	1.44527	0.53440
9	0.57999	13.03366	2.62480	0.97971	2.24293	7.92805	7.17632	0.62011
10	13.34819	0.71542	0.85701	0.98008	0.89650	0.80040	0.89378	1.11832
11	5.35018	2.07197	1.42908	1.26266	1.40006	1.27187	1.41411	0.63434
12	14.03159	0.52497	1.09228	1.12751	1.26505	0.52520	0.64941	0.84085
13	37.86885	0.13338	0.25445	0.63729	0.28488	0.25051	0.27531	1.31378
14	5.51255	0.07224	0.32182	0.71347	0.31084	0.19258	0.22333	1.60293
15	3.58797	0.18599	0.52072	0.66827	0.59843	0.40941	0.50524	1.04575
Base	100	0.69285	2.48819	42.74141	0.00094	0.00107	3.45903	37.26247
