state (Emission order)	H2az	Dnase	H3k9ac	H3k4me3	H3k4me2	H3k4me1	H3k27ac	H3k79me2	H4k20me1	H3k36me3	H3k9me3	H3k27me3
1	0.0017957834371351944	0.012529659836803484	0.0014832704291621915	6.949546564412527E-4	9.292930263011251E-4	0.04983564142560324	0.016292529169572148	0.019741631260005686	0.07028753915826992	0.8706251512137461	0.028140383016002034	1.0650389059868655E-4
2	0.017241318291835117	0.1744164223167664	0.17774183228024826	0.03684079408068189	0.01788969272869907	0.14115538930433452	0.07985943976808026	0.11862879332996062	0.6795260627102427	0.8164524794300465	0.12562157018640674	0.06467551521338961
3	0.0020417001322446207	0.021553519797490782	0.015241318716574309	0.0010352261607844892	0.009756941358723431	0.22463488220663544	0.03576938106428359	0.9721829539878343	0.4855385727377574	0.9083099293054955	0.05546497810114939	2.148067462469199E-4
4	0.005085329078695828	0.022048976268662725	0.0010893017544987657	0.0022700763943357995	0.03354404154080887	0.20653808048417413	0.026484023764336083	0.8750160812540115	0.3096251447751632	0.06866837170318915	0.03929014909634126	0.0016630503791266172
5	0.05699476243121439	0.3953091746571497	0.4366637282124947	0.30143868418162495	0.7353771408832773	0.9478071497325723	0.6435382280348799	0.8481987595486965	0.5062877738894894	0.7338539512851626	0.056488067100381664	0.007800210985312126
6	0.7722014104987001	0.9024616032091514	0.9986221919628878	0.9845796876574207	0.9990814585983636	0.8840884880280648	0.9544831379681568	0.926143799604588	0.32902222338348436	0.4042506547553209	0.06918616993808004	0.15919879261401396
7	0.8728408133488433	0.7887069651997679	0.7800076065187332	0.618039091578016	0.9566045022783313	0.8861058017183914	0.8121917327288715	0.055407941134623113	0.018532114318971768	0.03329150295701891	0.06174194248460022	0.029479808594454114
8	0.5012561904615539	0.28687287246623916	0.03358050985468495	0.027145635733695526	0.26999419771522876	0.7874100672439368	0.1401722939745539	0.01076238209452129	0.02989779019638739	0.015205370805782752	0.04250155276112307	0.03767635227723568
9	0.6153873841027858	0.4900661349627133	0.42885308384130866	0.678215280478523	0.8856313339045088	0.7216396457719867	0.09597675841228975	0.018890756580465542	0.29684609774803977	0.011243827867023095	0.07366183056022667	0.780471919351028
10	0.028089014405690622	0.004267973333326658	8.713669100105403E-54	0.001596883408865123	0.002275981875910584	0.011956042125505459	8.888741523341429E-4	2.2128361732899476E-5	0.045731744595080275	2.0740406101818728E-4	0.012703879819657262	0.5715585261317205
11	0.11553169648399693	0.017857554447729483	0.027699959874815796	0.0035124871459424997	0.006035630131782425	0.07622239988771715	0.002474308467324753	0.0012518382785635628	0.42579545210026304	0.001343814296390346	0.10236940378271331	0.872603245863539
12	0.02251422360969867	0.01313641695614601	8.248038079685521E-4	2.5304071203983216E-4	1.0158709357779244E-20	0.024243747705633794	0.0012078777515785275	0.002676891198252253	0.02668058355462799	0.00946197172874457	0.022828651072865264	0.015328627403042524
13	0.003730127403767065	0.0013585505629285378	1.0442917035403219E-5	6.324340745160845E-4	2.949441294612247E-4	9.539693587566015E-4	4.417916090741374E-4	3.5224069832086653E-5	0.0018294552586634756	9.529417924410785E-5	0.03197749722042404	0.006180536181366854
14	0.006114615716190729	0.0019047044258287374	2.7348657139442367E-4	0.002439995380258468	7.283284090756889E-4	0.0016051010766798615	5.303198329023328E-4	5.89229275500781E-4	0.01821894977619217	0.010852977813195904	0.8205823359420371	0.010808127328128973
15	0.33346287263277935	0.01196198583612164	5.632283627503732E-4	2.2207715214296074E-4	0.0020378819193666276	0.01095028980922604	0.0049587696664063615	7.332521322282791E-5	0.0010504348154617325	4.375173865439294E-4	0.06655226777078432	0.0032853617904976535
