15	12	E	-6594522.576403352	167
probinit	1	3.3568811537E-313
probinit	2	0.006823309783222088
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.026854056177221832
probinit	7	0.0
probinit	8	3.822301141480648E-284
probinit	9	0.013420602941395023
probinit	10	2.650883418576637E-161
probinit	11	0.013772170924440186
probinit	12	0.316567361473192
probinit	13	0.6225624987005288
probinit	14	3.3190250142011473E-196
probinit	15	1.4414109352332756E-257
transitionprobs	1	1	0.7714685096750089
transitionprobs	1	2	0.009844409074889456
transitionprobs	1	3	0.05326391596114106
transitionprobs	1	4	0.010438424817410889
transitionprobs	1	5	0.0325528634965166
transitionprobs	1	6	0.025862517381037353
transitionprobs	1	7	0.010197759980271925
transitionprobs	1	8	0.008414485769197146
transitionprobs	1	9	0.0010285527798687486
transitionprobs	1	10	0.0014004474190219595
transitionprobs	1	11	4.6755371713378275E-4
transitionprobs	1	12	0.07359438821193862
transitionprobs	1	13	1.7345060873100273E-5
transitionprobs	1	14	5.498518115103588E-4
transitionprobs	1	15	8.989748441802772E-4
transitionprobs	2	1	0.0442359406004258
transitionprobs	2	2	0.6669543559234932
transitionprobs	2	3	0.029809972512478692
transitionprobs	2	4	8.191125460892835E-4
transitionprobs	2	5	0.05106314259294719
transitionprobs	2	6	0.08082097637752368
transitionprobs	2	7	0.00913657134086737
transitionprobs	2	8	0.00623212878832233
transitionprobs	2	9	0.027704133616778242
transitionprobs	2	10	1.8626039267575676E-4
transitionprobs	2	11	0.01608214365729817
transitionprobs	2	12	0.05316895529725323
transitionprobs	2	13	0.003293140348964349
transitionprobs	2	14	0.010489834306354102
transitionprobs	2	15	3.3316985285489353E-6
transitionprobs	3	1	0.12942514511694045
transitionprobs	3	2	0.014885805640069073
transitionprobs	3	3	0.6100539260771848
transitionprobs	3	4	0.02626712789778813
transitionprobs	3	5	0.1290268123933015
transitionprobs	3	6	0.08650901237839854
transitionprobs	3	7	0.0
transitionprobs	3	8	5.058875285734195E-4
transitionprobs	3	9	1.7340188978522474E-5
transitionprobs	3	10	7.999978257334647E-5
transitionprobs	3	11	0.0
transitionprobs	3	12	0.002464252786053525
transitionprobs	3	13	1.8546205360628007E-4
transitionprobs	3	14	3.58950111324419E-4
transitionprobs	3	15	2.2027804520789127E-4
transitionprobs	4	1	0.02784941442526088
transitionprobs	4	2	5.443025370430269E-4
transitionprobs	4	3	0.031946992148611554
transitionprobs	4	4	0.7599659411370514
transitionprobs	4	5	0.06850546161559153
transitionprobs	4	6	0.05978407754460407
transitionprobs	4	7	0.004053639035112711
transitionprobs	4	8	6.720354987042465E-4
transitionprobs	4	9	0.001935447753790765
transitionprobs	4	10	0.0
transitionprobs	4	11	5.835067695654208E-5
transitionprobs	4	12	0.042370470538214584
transitionprobs	4	13	0.0013290012798063211
transitionprobs	4	14	7.923193498687758E-4
transitionprobs	4	15	1.9254645938365222E-4
transitionprobs	5	1	0.11728724725524506
transitionprobs	5	2	0.036864658665500906
transitionprobs	5	3	0.19764733610679294
transitionprobs	5	4	0.08813065576249385
transitionprobs	5	5	0.2735135208379846
transitionprobs	5	6	0.24969877713830585
transitionprobs	5	7	0.01403816990410162
transitionprobs	5	8	0.005856404206389541
transitionprobs	5	9	0.0025816684078996534
transitionprobs	5	10	1.5648484943781493E-4
transitionprobs	5	11	2.9780650912323485E-4
transitionprobs	5	12	0.013898977039908684
transitionprobs	5	13	0.0
transitionprobs	5	14	1.4704167827286568E-5
transitionprobs	5	15	1.3589148988933193E-5
transitionprobs	6	1	0.06672785222622311
transitionprobs	6	2	0.04190588633631975
transitionprobs	6	3	0.10078884266806588
transitionprobs	6	4	0.05913807121820026
transitionprobs	6	5	0.1917446893407826
transitionprobs	6	6	0.2441594118287052
