# soft core potential 

soft_core_lj 
N 10006  R  0.0001  2.0
    1    0.000000001    4.000000000    0.000000000
    2    0.000000010    4.000000000    0.000000000
    3    0.000000100    4.000000000    0.000000000
    4    0.000001000    4.000000000    0.000000000
    5    0.000010000    4.000000000    0.000000000
    6    0.000100000    4.000000000    0.000000000
    7    0.000200000    4.000000000    0.000000000
    8    0.000400000    4.000000000    0.000000000
    9    0.000600000    4.000000000    0.000000000
   10    0.000800000    4.000000000    0.000000000
   11    0.001000000    4.000000000    0.000000000
   12    0.001200000    4.000000000    0.000000000
   13    0.001400000    4.000000000    0.000000000
   14    0.001600000    4.000000000    0.000000000
   15    0.001800000    4.000000000    0.000000000
   16    0.002000000    4.000000000    0.000000000
   17    0.002200000    4.000000000    0.000000000
   18    0.002400000    4.000000000    0.000000000
   19    0.002600000    4.000000000    0.000000000
   20    0.002800000    4.000000000    0.000000000
   21    0.003000000    4.000000000    0.000000000
   22    0.003200000    4.000000000    0.000000000
   23    0.003400000    4.000000000    0.000000000
   24    0.003600000    4.000000000    0.000000000
   25    0.003800000    4.000000000    0.000000000
   26    0.004000000    4.000000000    0.000000000
   27    0.004200000    4.000000000    0.000000000
   28    0.004400000    4.000000000    0.000000000
   29    0.004600000    4.000000000    0.000000000
   30    0.004800000    4.000000000    0.000000000
   31    0.005000000    4.000000000    0.000000000
   32    0.005200000    4.000000000    0.000000000
   33    0.005400000    4.000000000    0.000000000
   34    0.005600000    4.000000000    0.000000000
   35    0.005800000    4.000000000    0.000000000
   36    0.006000000    4.000000000    0.000000000
   37    0.006200000    4.000000000    0.000000000
   38    0.006400000    4.000000000    0.000000000
   39    0.006600000    4.000000000    0.000000000
   40    0.006800000    4.000000000    0.000000000
   41    0.007000000    4.000000000    0.000000000
   42    0.007200000    4.000000000    0.000000000
   43    0.007400000    4.000000000    0.000000000
   44    0.007600000    4.000000000    0.000000000
   45    0.007800000    4.000000000    0.000000000
   46    0.008000000    4.000000000    0.000000000
   47    0.008200000    4.000000000    0.000000000
   48    0.008400000    4.000000000    0.000000000
   49    0.008600000    4.000000000    0.000000000
   50    0.008800000    4.000000000    0.000000000
   51    0.009000000    4.000000000    0.000000000
   52    0.009200000    4.000000000    0.000000000
   53    0.009400000    4.000000000    0.000000000
   54    0.009600000    4.000000000    0.000000000
   55    0.009800000    4.000000000    0.000000000
   56    0.010000000    4.000000000    0.000000000
   57    0.010200000    4.000000000    0.000000000
   58    0.010400000    4.000000000    0.000000000
   59    0.010600000    4.000000000    0.000000000
   60    0.010800000    4.000000000    0.000000000
   61    0.011000000    4.000000000    0.000000000
   62    0.011200000    4.000000000    0.000000000
   63    0.011400000    4.000000000    0.000000000
   64    0.011600000    4.000000000    0.000000000
   65    0.011800000    4.000000000    0.000000000
   66    0.012000000    4.000000000    0.000000000
   67    0.012200000    4.000000000    0.000000000
   68    0.012400000    4.000000000    0.000000000
   69    0.012600000    4.000000000    0.000000000
   70    0.012800000    4.000000000    0.000000000
   71    0.013000000    4.000000000    0.000000000
   72    0.013200000    4.000000000    0.000000000
   73    0.013400000    4.000000000    0.000000000
   74    0.013600000    4.000000000    0.000000000
   75    0.013800000    4.000000000    0.000000000
   76    0.014000000    4.000000000    0.000000000
   77    0.014200000    4.000000000    0.000000000
   78    0.014400000    4.000000000    0.000000000
   79    0.014600000    4.000000000    0.000000000
   80    0.014800000    4.000000000    0.000000000
   81    0.015000000    4.000000000    0.000000000
   82    0.015200000    4.000000000    0.000000000
   83    0.015400000    4.000000000    0.000000000
   84    0.015600000    4.000000000    0.000000000
   85    0.015800000    4.000000000    0.000000000
   86    0.016000000    4.000000000    0.000000000
   87    0.016200000    4.000000000    0.000000000
   88    0.016400000    4.000000000    0.000000000
   89    0.016600000    4.000000000    0.000000000
   90    0.016800000    4.000000000    0.000000000
   91    0.017000000    4.000000000    0.000000000
   92    0.017200000    4.000000000    0.000000000
   93    0.017400000    4.000000000    0.000000000
   94    0.017600000    4.000000000    0.000000000
   95    0.017800000    4.000000000    0.000000000
   96    0.018000000    4.000000000    0.000000000
   97    0.018200000    4.000000000    0.000000000
   98    0.018400000    4.000000000    0.000000000
   99    0.018600000    4.000000000    0.000000000
  100    0.018800000    4.000000000    0.000000000
  101    0.019000000    4.000000000    0.000000000
  102    0.019200000    4.000000000    0.000000000
  103    0.019400000    4.000000000    0.000000000
  104    0.019600000    4.000000000    0.000000000
  105    0.019800000    4.000000000    0.000000000
  106    0.020000000    4.000000000    0.000000000
  107    0.020200000    4.000000000    0.000000000
  108    0.020400000    4.000000000    0.000000000
  109    0.020600000    4.000000000    0.000000000
  110    0.020800000    4.000000000    0.000000000
  111    0.021000000    4.000000000    0.000000000
  112    0.021200000    4.000000000    0.000000000
  113    0.021400000    4.000000000    0.000000000
  114    0.021600000    4.000000000    0.000000000
  115    0.021800000    4.000000000    0.000000000
  116    0.022000000    4.000000000    0.000000000
  117    0.022200000    4.000000000    0.000000000
  118    0.022400000    4.000000000    0.000000000
  119    0.022600000    4.000000000    0.000000000
  120    0.022800000    4.000000000    0.000000000
  121    0.023000000    4.000000000    0.000000000
  122    0.023200000    4.000000000    0.000000000
  123    0.023400000    4.000000000    0.000000000
  124    0.023600000    4.000000000    0.000000000
  125    0.023800000    4.000000000    0.000000000
  126    0.024000000    4.000000000    0.000000000
  127    0.024200000    4.000000000    0.000000000
  128    0.024400000    4.000000000    0.000000000
